Phase,Blue,Red,Score,Winner,Patch,BB1,RB1,BB2,RB2,BB3,RB3,BP1,RP1-2,BP2-3,RP3,RB4,BB4,RB5,BB5,RP4,BP4-5,RP5,BR1,BR2,BR3,BR4,BR5,RR1,RR2,RR3,RR4,RR5
Week 6,Afreeca Freecs,Gen.G,1 - 1,2,11.3,Renekton,Seraphine,Kalista,Rell,Azir,Lillia,Udyr,"Nidalee, Syndra","Kai'Sa, Orianna",Aphelios,Jayce,Nautilus,Alistar,Irelia,Leona,"Gnar, Gragas",Camille,Jungle,Bot,Mid,Top,Support,Jungle,Mid,Bot,Support,Top
Week 6,Gen.G,Afreeca Freecs,0 - 1,2,11.3,Seraphine,Kalista,Sett,Renekton,Rell,Syndra,Udyr,"Lillia, Azir","Kai'Sa, Zoe",Samira,Galio,Gnar,Camille,Aatrox,Nautilus,"Volibear, Alistar",Jayce,Jungle,Bot,Mid,Top,Support,Jungle,Mid,Bot,Support,Top
Week 6,T1,DWG KIA,1 - 2,2,11.3,Udyr,Thresh,Senna,Renekton,Kai'Sa,Lillia,Rell,"Alistar, Nidalee","Graves, Samira",Xayah,Orianna,Azir,Gnar,Sion,Seraphine,"Ryze, Camille",Gangplank,Support,Jungle,Bot,Mid,Top,Support,Jungle,Bot,Mid,Top
Week 6,DWG KIA,T1,1 - 1,2,11.3,Renekton,Udyr,Thresh,Rell,Irelia,Kai'Sa,Seraphine,"Lucian, Lillia","Kayn, Ezreal",Senna,Azir,Kalista,Gragas,Gnar,Camille,"Sion, Syndra",Nautilus,Support,Jungle,Bot,Top,Mid,Mid,Jungle,Bot,Top,Support
Week 6,T1,DWG KIA,0 - 1,2,11.3,Udyr,Thresh,Rell,Renekton,Kai'Sa,Seraphine,Lillia,"Senna, Kayn","Camille, Irelia",Sion,Kalista,Azir,Ezreal,Nautilus,Viktor,"Lucian, Yuumi",Maokai,Jungle,Top,Mid,Bot,Support,Bot,Jungle,Top,Mid,Support
Week 6,Hanwha Life Esports,DRX,2 - 0,1,11.3,Seraphine,Lucian,Gnar,Lillia,Orianna,Yone,Udyr,"Aphelios, Thresh","Renekton, Kai'Sa",Syndra,Twisted Fate,Quinn,Rell,Dr. Mundo,Jayce,"Pyke, Malphite",Skarner,Jungle,Mid,Bot,Support,Top,Bot,Support,Mid,Top,Jungle
Week 6,DRX,Hanwha Life Esports,0 - 1,2,11.3,Yone,Seraphine,Lillia,Udyr,Rell,Gnar,Renekton,"Gragas, Kai'Sa","Nidalee, Orianna",Lucian,Xayah,Taliyah,Aphelios,Skarner,Karthus,"Senna, Tahm Kench",Braum,Top,Jungle,Mid,Support,Bot,Top,Bot,Mid,Jungle,Support
Week 6,KT Rolster,Afreeca Freecs,0 - 2,2,11.3,Seraphine,Renekton,Gragas,Rell,Lillia,Udyr,Alistar,"Kai'Sa, Galio","Samira, Graves",Nidalee,Azir,Sion,Viktor,Orianna,Syndra,"Zoe, Gnar",Irelia,Support,Bot,Jungle,Mid,Top,Bot,Support,Jungle,Mid,Top
Week 6,Afreeca Freecs,KT Rolster,1 - 0,1,11.3,Samira,Seraphine,Azir,Renekton,Alistar,Udyr,Rell,"Kai'Sa, Leona","Lillia, Tristana",Kayn,Orianna,Gnar,Sett,Camille,Syndra,"Gragas, Sion",Kled,Support,Jungle,Bot,Top,Mid,Bot,Support,Jungle,Mid,Top
Week 6,Gen.G,Fredit BRION,2 - 1,1,11.3,Lillia,Renekton,Thresh,Kalista,Seraphine,Udyr,Nidalee,"Sion, Orianna","Azir, Kai'Sa",Tristana,Gnar,Rakan,Camille,Rell,Alistar,"Volibear, Galio",Skarner,Jungle,Mid,Bot,Top,Support,Top,Mid,Bot,Support,Jungle
Week 6,Fredit BRION,Gen.G,1 - 1,1,11.3,Renekton,Seraphine,Azir,Thresh,Kalista,Udyr,Lillia,"Nidalee, Kai'Sa","Orianna, Tristana",Syndra,Galio,Alistar,Rell,Gragas,Leona,"Sion, Rakan",Gnar,Jungle,Mid,Bot,Top,Support,Jungle,Bot,Mid,Support,Top
Week 6,Gen.G,Fredit BRION,1 - 0,1,11.3,Seraphine,Renekton,Thresh,Azir,Lillia,Kalista,Udyr,"Orianna, Olaf","Kai'Sa, Syndra",Tristana,Camille,Gragas,Gangplank,Rell,Gnar,"Irelia, Alistar",Rakan,Jungle,Bot,Mid,Top,Support,Mid,Jungle,Bot,Top,Support
Week 6,Liiv SANDBOX,DWG KIA,0 - 2,2,11.3,Senna,Renekton,Syndra,Aphelios,Graves,Gnar,Seraphine,"Rell, Udyr","Gragas, Kai'Sa",Tristana,Alistar,Sion,Camille,Ornn,Azir,"Hecarim, Nautilus",Aatrox,Mid,Top,Bot,Jungle,Support,Support,Jungle,Bot,Mid,Top
Week 6,DWG KIA,Liiv SANDBOX,1 - 0,1,11.3,Renekton,Senna,Aphelios,Seraphine,Irelia,Rell,Kai'Sa,"Graves, Alistar","Udyr, Syndra",Samira,Galio,Azir,Gragas,Ornn,Gnar,"Sion, Rakan",Orianna,Bot,Jungle,Mid,Top,Support,Jungle,Support,Bot,Top,Mid
Week 6,T1,Nongshim RedForce,2 - 0,1,11.3,Azir,Irelia,Kai'Sa,Syndra,Rell,Udyr,Renekton,"Nidalee, Thresh","Lillia, Lucian",Aphelios,Samira,Sion,Ezreal,Viktor,Orianna,"Kalista, Neeko",Aatrox,Top,Jungle,Mid,Bot,Support,Jungle,Support,Bot,Mid,Top
Week 6,Nongshim RedForce,T1,0 - 1,2,11.3,Irelia,Rell,Gnar,Kai'Sa,Syndra,Udyr,Nidalee,"Renekton, Lillia","Samira, Alistar",Lucian,Azir,Kalista,Sion,Aphelios,Galio,"Aatrox, Viktor",Ezreal,Jungle,Bot,Support,Top,Mid,Top,Jungle,Mid,Support,Bot
Week 5,T1,Liiv SANDBOX,2 - 0,1,11.3,Rell,Irelia,Gnar,Aphelios,Seraphine,Renekton,Kai'Sa,"Udyr, Samira","Nidalee, Alistar",Nautilus,Yone,Camille,Aatrox,Azir,Gragas,"Sion, Zoe",Orianna,Bot,Jungle,Support,Top,Mid,Jungle,Bot,Support,Top,Mid
Week 5,Liiv SANDBOX,T1,0 - 1,2,11.3,Irelia,Rell,Renekton,Seraphine,Nidalee,Gnar,Kai'Sa,"Thresh, Aphelios","Udyr, Azir",Syndra,Aatrox,Olaf,Nautilus,Ornn,Gragas,"Alistar, Camille",Graves,Bot,Jungle,Mid,Support,Top,Support,Bot,Mid,Top,Jungle
Week 5,Afreeca Freecs,DRX,1 - 2,2,11.3,Udyr,Rell,Kindred,Seraphine,Volibear,Samira,Gragas,"Aphelios, Thresh","Kai'Sa, Renekton",Gnar,Taliyah,Azir,Nidalee,Lillia,Dr. Mundo,"Olaf, Viktor",Syndra,Support,Bot,Top,Jungle,Mid,Bot,Support,Top,Jungle,Mid
Week 5,DRX,Afreeca Freecs,1 - 1,1,11.3,Gragas,Udyr,Rell,Seraphine,Taliyah,Aphelios,Nidalee,"Kai'Sa, Renekton","Xayah, Volibear",Kindred,Thresh,Nautilus,Rakan,Twisted Fate,Galio,"Alistar, Syndra",Viktor,Jungle,Bot,Top,Support,Mid,Bot,Top,Jungle,Support,Mid
Week 5,Afreeca Freecs,DRX,1 - 0,1,11.3,Udyr,Gragas,Kindred,Rell,Aphelios,Seraphine,Renekton,"Kai'Sa, Nidalee","Taliyah, Samira",Volibear,Nautilus,Lucian,Galio,Alistar,Leona,"Rakan, Orianna",Syndra,Top,Jungle,Bot,Support,Mid,Bot,Jungle,Top,Support,Mid
Week 5,Hanwha Life Esports,DWG KIA,1 - 2,2,11.3,Rell,Alistar,Kayn,Lucian,Graves,Seraphine,Kai'Sa,"Udyr, Senna","Lillia, Renekton",Sion,Gragas,Morgana,Yone,Syndra,Azir,"Nautilus, Tristana",Heimerdinger,Bot,Jungle,Top,Support,Mid,Jungle,Bot,Top,Mid,Support
Week 5,DWG KIA,Hanwha Life Esports,1 - 1,1,11.3,Lucian,Rell,Samira,Kai'Sa,Udyr,Kayn,Seraphine,"Olaf, Gragas","Graves, Ezreal",Sivir,Syndra,Twisted Fate,Alistar,Azir,Zoe,"Viktor, Sion",Sett,Support,Jungle,Bot,Mid,Top,Jungle,Support,Bot,Mid,Top
Week 5,Hanwha Life Esports,DWG KIA,1 - 0,1,11.3,Rell,Udyr,Kayn,Seraphine,Syndra,Alistar,Kai'Sa,"Kalista, Gragas","Lillia, Nautilus",Graves,Yone,Azir,Twisted Fate,Viktor,Orianna,"Renekton, Lucian",Sion,Bot,Jungle,Support,Top,Mid,Bot,Support,Jungle,Mid,Top
Week 5,Gen.G,Nongshim RedForce,2 - 0,1,11.3,Thresh,Kalista,Sett,Rell,Olaf,Udyr,Renekton,"Gragas, Graves","Nidalee, Azir",Samira,Kai'Sa,Galio,Ezreal,Alistar,Leona,"Nautilus, Xayah",Syndra,Top,Jungle,Mid,Support,Bot,Top,Jungle,Bot,Support,Mid
Week 5,Nongshim RedForce,Gen.G,0 - 1,2,11.3,Kalista,Thresh,Renekton,Sett,Udyr,Olaf,Rell,"Kai'Sa, Nidalee","Graves, Samira",Alistar,Jayce,Syndra,Galio,Camille,Gnar,"Cassiopeia, Azir",Zoe,Support,Jungle,Bot,Top,Mid,Bot,Jungle,Support,Top,Mid
Week 5,Fredit BRION,KT Rolster,0 - 2,2,11.3,Samira,Udyr,Thresh,Seraphine,Nidalee,Kai'Sa,Rell,"Alistar, Azir","Kalista, Lillia",Xayah,Gnar,Hecarim,Sion,Renekton,Kayn,"Orianna, Aatrox",Gragas,Support,Bot,Jungle,Mid,Top,Support,Mid,Bot,Jungle,Top
Week 5,KT Rolster,Fredit BRION,1 - 0,1,11.3,Gragas,Samira,Lillia,Thresh,Seraphine,Jayce,Kai'Sa,"Rell, Udyr","Nidalee, Alistar",Orianna,Syndra,Kalista,Viktor,Tristana,Gnar,"Azir, Gangplank",Aphelios,Bot,Jungle,Support,Mid,Top,Support,Jungle,Mid,Top,Bot
Week 5,DRX,T1,2 - 1,1,11.3,Twisted Fate,Syndra,Aphelios,Gnar,Azir,Samira,Seraphine,"Rell, Kai'Sa","Udyr, Xayah",Olaf,Rakan,Kennen,Volibear,Sylas,Renekton,"Thresh, Jayce",Orianna,Mid,Jungle,Bot,Support,Top,Support,Bot,Jungle,Top,Mid
Week 5,T1,DRX,1 - 1,1,11.3,Syndra,Twisted Fate,Gnar,Aphelios,Alistar,Seraphine,Olaf,"Kai'Sa, Gragas","Rell, Azir",Kindred,Tristana,Zoe,Kalista,Volibear,Viktor,"Samira, Renekton",Leona,Jungle,Support,Mid,Bot,Top,Bot,Top,Jungle,Mid,Support
Week 5,DRX,T1,1 - 0,1,11.3,Twisted Fate,Syndra,Aphelios,Rell,Irelia,Seraphine,Kai'Sa,"Gnar, Olaf","Kindred, Jayce",Orianna,Viktor,Kalista,Lulu,Gragas,Xayah,"Alistar, Zoe",Rakan,Bot,Jungle,Top,Support,Mid,Top,Jungle,Mid,Bot,Support
Week 5,Gen.G,Afreeca Freecs,2 - 0,1,11.3,Gnar,Kalista,Seraphine,Rell,Olaf,Udyr,Renekton,"Gragas, Kai'Sa","Nidalee, Azir",Quinn,Aphelios,Twisted Fate,Nautilus,Taliyah,Lillia,"Ezreal, Galio",Sett,Top,Jungle,Mid,Bot,Support,Support,Bot,Top,Jungle,Mid
Week 5,Afreeca Freecs,Gen.G,0 - 1,2,11.3,Udyr,Seraphine,Lillia,Gnar,Kalista,Olaf,Rell,"Kai'Sa, Renekton","Xayah, Graves",Nidalee,Twisted Fate,Galio,Gragas,Alistar,Leona,"Mordekaiser, Viktor",Azir,Support,Bot,Jungle,Top,Mid,Bot,Top,Jungle,Support,Mid
Week 5,Nongshim RedForce,Hanwha Life Esports,1 - 2,2,11.3,Olaf,Nidalee,Yone,Graves,Udyr,Lillia,Rell,"Kai'Sa, Renekton","Samira, Gragas",Alistar,Kindred,Taliyah,Hecarim,Orianna,Skarner,"Syndra, Trundle",Viktor,Support,Bot,Top,Mid,Jungle,Bot,Top,Support,Jungle,Mid
Week 5,Hanwha Life Esports,Nongshim RedForce,1 - 1,1,11.3,Nidalee,Rell,Graves,Udyr,Aphelios,Olaf,Kai'Sa,"Samira, Lillia","Taliyah, Renekton",Alistar,Yone,Gnar,Irelia,Azir,Sion,"Gragas, Galio",Sett,Bot,Jungle,Mid,Top,Support,Bot,Jungle,Support,Top,Mid
Week 5,Nongshim RedForce,Hanwha Life Esports,1 - 0,1,11.3,Olaf,Nidalee,Yone,Graves,Udyr,Seraphine,Rell,"Aphelios, Thresh","Lillia, Samira",Skarner,Pantheon,Orianna,Jayce,Gnar,Renekton,"Gragas, Sett",Azir,Support,Jungle,Bot,Top,Mid,Bot,Support,Jungle,Top,Mid
Week 5,Liiv SANDBOX,Fredit BRION,0 - 2,2,11.3,Seraphine,Nidalee,Gragas,Samira,Thresh,Rell,Udyr,"Gnar, Orianna","Azir, Kai'Sa",Lillia,Jayce,Tristana,Camille,Aphelios,Kalista,"Gangplank, Alistar",Rakan,Jungle,Mid,Bot,Top,Support,Top,Mid,Jungle,Bot,Support
Week 5,Fredit BRION,Liiv SANDBOX,1 - 0,1,11.3,Nidalee,Seraphine,Samira,Gragas,Gnar,Thresh,Udyr,"Rell, Kai'Sa","Tristana, Alistar",Olaf,Orianna,Renekton,Syndra,Azir,Camille,"Zoe, Pantheon",Twisted Fate,Jungle,Bot,Support,Mid,Top,Support,Bot,Jungle,Top,Mid
Week 5,KT Rolster,DWG KIA,1 - 2,2,11.3,Gragas,Udyr,Graves,Seraphine,Kayn,Thresh,Rell,"Kai'Sa, Nidalee","Lillia, Samira",Alistar,Yone,Sion,Azir,Ornn,Syndra,"Viktor, Jayce",Wukong,Support,Jungle,Bot,Mid,Top,Bot,Jungle,Support,Mid,Top
Week 5,DWG KIA,KT Rolster,1 - 1,1,11.3,Thresh,Gragas,Seraphine,Udyr,Irelia,Graves,Rell,"Samira, Lillia","Kayn, Kalista",Alistar,Sion,Yone,Zoe,Azir,Viktor,"Ornn, Syndra",Camille,Support,Jungle,Bot,Top,Mid,Bot,Jungle,Support,Mid,Top
Week 5,KT Rolster,DWG KIA,1 - 0,1,11.3,Gragas,Udyr,Graves,Seraphine,Rell,Alistar,Lillia,"Kai'Sa, Kayn","Aphelios, Thresh",Jarvan IV,Yone,Ornn,Azir,Sion,Syndra,"Viktor, Gnar",Gangplank,Jungle,Bot,Support,Mid,Top,Bot,Jungle,Support,Mid,Top
Week 4,DRX,DWG KIA,0 - 2,2,11.2,Taliyah,Gnar,Pantheon,Aphelios,Alistar,Seraphine,Rell,"Gragas, Kalista","Kai'Sa, Olaf",Graves,Orianna,Aatrox,Irelia,Zoe,Syndra,"Viktor, Ornn",Sion,Support,Bot,Jungle,Mid,Top,Support,Bot,Jungle,Mid,Top
Week 4,DWG KIA,DRX,1 - 0,1,11.2,Aphelios,Taliyah,Gnar,Seraphine,Irelia,Alistar,Rell,"Xayah, Thresh","Pantheon, Kai'Sa",Syndra,Orianna,Olaf,Zoe,Udyr,Dr. Mundo,"Viktor, Ornn",Volibear,Support,Jungle,Bot,Mid,Top,Bot,Support,Mid,Jungle,Top
Week 4,Liiv SANDBOX,Hanwha Life Esports,2 - 0,1,11.2,Gragas,Taliyah,Alistar,Gnar,Thresh,Olaf,Rell,"Udyr, Rakan","Kai'Sa, Nidalee",Samira,Quinn,Ornn,Volibear,Renekton,Wukong,"Camille, Azir",Viktor,Support,Bot,Jungle,Top,Mid,Jungle,Support,Bot,Top,Mid
Week 4,Hanwha Life Esports,Liiv SANDBOX,0 - 1,2,11.2,Taliyah,Gragas,Seraphine,Alistar,Udyr,Thresh,Olaf,"Rell, Kai'Sa","Xayah, Rakan",Nidalee,Twisted Fate,Renekton,Galio,Jayce,Gnar,"Gangplank, Azir",Zoe,Jungle,Bot,Support,Top,Mid,Support,Bot,Jungle,Top,Mid
Week 4,KT Rolster,Afreeca Freecs,2 - 1,1,11.2,Pantheon,Udyr,Lulu,Olaf,Taliyah,Seraphine,Rell,"Alistar, Gnar","Lillia, Samira",Kai'Sa,Azir,Graves,Jayce,Hecarim,Nidalee,"Irelia, Viktor",Sett,Support,Jungle,Bot,Top,Mid,Support,Top,Bot,Jungle,Mid
Week 4,Afreeca Freecs,KT Rolster,1 - 1,1,11.2,Udyr,Taliyah,Azir,Seraphine,Thresh,Olaf,Pantheon,"Rell, Lillia","Lulu, Aphelios",Samira,Gragas,Yone,Karthus,Orianna,Gnar,"Syndra, Camille",Viktor,Jungle,Support,Bot,Mid,Top,Support,Jungle,Bot,Top,Mid
Week 4,KT Rolster,Afreeca Freecs,1 - 0,1,11.2,Gragas,Udyr,Seraphine,Olaf,Graves,Thresh,Taliyah,"Gnar, Pantheon","Samira, Rell",Xayah,Renekton,Rakan,Azir,Orianna,Lulu,"Gangplank, Syndra",Karthus,Jungle,Bot,Support,Top,Mid,Top,Mid,Bot,Support,Jungle
Week 4,Fredit BRION,T1,0 - 2,2,11.2,Samira,Taliyah,Aphelios,Olaf,Gnar,Rell,Seraphine,"Kai'Sa, Orianna","Graves, Xayah",Pantheon,Ornn,Jayce,Rakan,Udyr,Renekton,"Gragas, Alistar",Nautilus,Jungle,Mid,Bot,Top,Support,Bot,Mid,Jungle,Top,Support
Week 4,T1,Fredit BRION,1 - 0,1,11.2,Nidalee,Samira,Seraphine,Azir,Olaf,Gnar,Taliyah,"Kai'Sa, Rell","Aphelios, Thresh",Udyr,Renekton,Ornn,Camille,Malphite,Syndra,"Jayce, Sett",Sion,Jungle,Bot,Support,Top,Mid,Bot,Support,Jungle,Mid,Top
Week 4,Nongshim RedForce,Gen.G,0 - 2,2,11.2,Kalista,Thresh,Renekton,Taliyah,Camille,Olaf,Kai'Sa,"Rell, Udyr","Nidalee, Rakan",Aphelios,Sett,Syndra,Nocturne,Azir,Orianna,"Viktor, Gnar",Pantheon,Bot,Jungle,Support,Mid,Top,Support,Jungle,Bot,Mid,Top
Week 4,Gen.G,Nongshim RedForce,1 - 0,1,11.2,Thresh,Kalista,Samira,Renekton,Rell,Taliyah,Olaf,"Kai'Sa, Azir","Syndra, Aphelios",Seraphine,Sett,Udyr,Leona,Sion,Kindred,"Nautilus, Camille",Gragas,Jungle,Mid,Bot,Support,Top,Bot,Mid,Support,Jungle,Top
Week 4,DWG KIA,Liiv SANDBOX,2 - 0,1,11.2,Olaf,Seraphine,Pantheon,Syndra,Udyr,Taliyah,Kai'Sa,"Rell, Nidalee","Graves, Alistar",Samira,Zoe,Gnar,Twisted Fate,Orianna,Azir,"Ryze, Sion",Renekton,Bot,Jungle,Support,Mid,Top,Support,Jungle,Bot,Mid,Top
Week 4,Liiv SANDBOX,DWG KIA,0 - 1,2,11.2,Seraphine,Taliyah,Senna,Olaf,Gragas,Renekton,Kai'Sa,"Xayah, Pantheon","Udyr, Gnar",Syndra,Orianna,Gangplank,Alistar,Sion,Rell,"Nautilus, Azir",Fizz,Bot,Jungle,Top,Support,Mid,Bot,Jungle,Mid,Support,Top
Week 4,Fredit BRION,KT Rolster,2 - 1,1,11.2,Samira,Taliyah,Gnar,Lillia,Udyr,Kai'Sa,Olaf,"Aphelios, Thresh","Seraphine, Kalista",Pantheon,Gragas,Renekton,Ornn,Gangplank,Orianna,"Rell, Sion",Karma,Jungle,Mid,Bot,Support,Top,Bot,Support,Jungle,Mid,Top
Week 4,KT Rolster,Fredit BRION,1 - 1,1,11.2,Gragas,Taliyah,Olaf,Gnar,Lillia,Pantheon,Udyr,"Kai'Sa, Orianna","Samira, Rell",Graves,Viktor,Alistar,Azir,Ornn,Rakan,"Renekton, Zoe",Sion,Jungle,Bot,Support,Top,Mid,Bot,Mid,Jungle,Support,Top
Week 4,Fredit BRION,KT Rolster,1 - 0,1,11.2,Samira,Taliyah,Gnar,Olaf,Azir,Lillia,Kai'Sa,"Seraphine, Udyr","Graves, Orianna",Xayah,Gragas,Viktor,Alistar,Thresh,Rell,"Ornn, Rakan",Aatrox,Bot,Jungle,Mid,Top,Support,Mid,Jungle,Bot,Support,Top
Week 4,Hanwha Life Esports,Afreeca Freecs,2 - 1,1,11.2,Seraphine,Olaf,Gnar,Rell,Taliyah,Xayah,Kai'Sa,"Pantheon, Samira","Udyr, Gragas",Renekton,Ornn,Lillia,Azir,Nautilus,Rakan,"Alistar, Orianna",Syndra,Bot,Jungle,Top,Support,Mid,Jungle,Bot,Top,Support,Mid
Week 4,Afreeca Freecs,Hanwha Life Esports,1 - 1,1,11.2,Azir,Seraphine,Udyr,Olaf,Rell,Renekton,Taliyah,"Pantheon, Camille","Gnar, Kai'Sa",Twisted Fate,Alistar,Xayah,Sett,Samira,Kog'Maw,"Shen, Gragas",Thresh,Jungle,Top,Bot,Support,Mid,Jungle,Top,Mid,Bot,Support
Week 4,Hanwha Life Esports,Afreeca Freecs,1 - 0,1,11.2,Seraphine,Taliyah,Graves,Pantheon,Gnar,Aphelios,Olaf,"Kai'Sa, Lillia","Xayah, Rell",Alistar,Yone,Sylas,Azir,Quinn,Orianna,"Renekton, Viktor",Ornn,Jungle,Bot,Support,Top,Mid,Bot,Jungle,Support,Mid,Top
Week 4,Gen.G,DRX,1 - 2,2,11.2,Rell,Kalista,Udyr,Taliyah,Gnar,Seraphine,Kai'Sa,"Aphelios, Thresh","Nidalee, Renekton",Volibear,Yone,Lillia,Jarvan IV,Dr. Mundo,Olaf,"Orianna, Sett",Syndra,Bot,Jungle,Top,Mid,Support,Bot,Support,Top,Jungle,Mid
Week 4,DRX,Gen.G,1 - 1,2,11.2,Kalista,Rell,Yone,Seraphine,Taliyah,Udyr,Kai'Sa,"Renekton, Nidalee","Gnar, Syndra",Orianna,Lillia,Jarvan IV,Olaf,Xayah,Aphelios,"Dr. Mundo, Sett",Leona,Bot,Top,Mid,Jungle,Support,Top,Jungle,Mid,Bot,Support
Week 4,Gen.G,DRX,0 - 1,2,11.2,Gnar,Kalista,Rell,Taliyah,Seraphine,Yone,Kai'Sa,"Xayah, Udyr","Azir, Renekton",Syndra,Nidalee,Gangplank,Lillia,Thresh,Volibear,"Olaf, Jarvan IV",Rakan,Bot,Mid,Top,Jungle,Support,Bot,Jungle,Mid,Top,Support
Week 4,T1,Nongshim RedForce,2 - 1,1,11.2,Nidalee,Taliyah,Rell,Gnar,Renekton,Azir,Orianna,"Kai'Sa, Udyr","Olaf, Leona",Seraphine,Samira,Viktor,Kalista,Aatrox,Syndra,"Gragas, Vayne",Ornn,Mid,Jungle,Support,Top,Bot,Bot,Jungle,Support,Mid,Top
Week 4,Nongshim RedForce,T1,1 - 1,1,11.2,Kalista,Taliyah,Gnar,Olaf,Azir,Orianna,Kai'Sa,"Udyr, Twisted Fate","Nidalee, Renekton",Xayah,Leona,Quinn,Pantheon,Rakan,Jayce,"Rell, Sett",Thresh,Bot,Jungle,Top,Support,Mid,Jungle,Mid,Bot,Top,Support
Week 4,T1,Nongshim RedForce,1 - 0,1,11.2,Orianna,Twisted Fate,Samira,Aphelios,Olaf,Taliyah,Kai'Sa,"Xayah, Udyr","Gnar, Azir",Thresh,Pantheon,Jayce,Jarvan IV,Zoe,Renekton,"Lillia, Leona",Viktor,Bot,Top,Mid,Jungle,Support,Bot,Jungle,Support,Top,Mid
Week 3,KT Rolster,Nongshim RedForce,0 - 2,2,11.2,Aphelios,Taliyah,Graves,Lillia,Olaf,Samira,Kai'Sa,"Xayah, Orianna","Azir, Hecarim",Thresh,Seraphine,Nidalee,Gnar,Gragas,Kindred,"Alistar, Ornn",Aatrox,Bot,Mid,Jungle,Support,Top,Bot,Mid,Support,Jungle,Top
Week 3,Nongshim RedForce,KT Rolster,1 - 0,1,11.2,Gnar,Kai'Sa,Lillia,Gragas,Samira,Taliyah,Olaf,"Azir, Senna","Aphelios, Thresh",Graves,Syndra,Seraphine,Zoe,Gangplank,Tahm Kench,"Ornn, Orianna",Aatrox,Jungle,Bot,Support,Top,Mid,Mid,Bot,Jungle,Support,Top
Week 3,T1,Afreeca Freecs,0 - 2,2,11.2,Seraphine,Kalista,Orianna,Taliyah,Gnar,Udyr,Olaf,"Graves, Syndra","Kai'Sa, Zoe",Samira,Alistar,Ornn,Camille,Renekton,Gragas,"Pantheon, Akali",Nautilus,Jungle,Bot,Mid,Support,Top,Jungle,Mid,Bot,Top,Support
Week 3,Afreeca Freecs,T1,1 - 0,1,11.2,Camille,Seraphine,Kalista,Taliyah,Udyr,Samira,Olaf,"Kai'Sa, Syndra","Xayah, Orianna",Jarvan IV,Rakan,Gnar,Ornn,Galio,Gragas,"Thresh, Renekton",Pyke,Jungle,Bot,Mid,Support,Top,Bot,Mid,Jungle,Top,Support
Week 3,Gen.G,Liiv SANDBOX,2 - 0,1,11.2,Gnar,Kalista,Samira,Camille,Taliyah,Renekton,Kai'Sa,"Olaf, Xayah","Pantheon, Azir",Twisted Fate,Sett,Gangplank,Gragas,Jayce,Rakan,"Ornn, Jarvan IV",Aatrox,Bot,Jungle,Mid,Top,Support,Jungle,Bot,Mid,Support,Top
Week 3,Liiv SANDBOX,Gen.G,0 - 1,2,11.2,Kalista,Taliyah,Renekton,Gnar,Camille,Kai'Sa,Samira,"Olaf, Xayah","Udyr, Orianna",Azir,Rell,Sett,Alistar,Rakan,Leona,"Galio, Aatrox",Akali,Bot,Jungle,Mid,Support,Top,Jungle,Bot,Mid,Support,Top
Week 3,Fredit BRION,DRX,1 - 2,2,11.2,Udyr,Olaf,Kai'Sa,Pantheon,Orianna,Taliyah,Lillia,"Samira, Gnar","Kalista, Lucian",Viktor,Ornn,Hecarim,Thresh,Graves,Kindred,"Gragas, Alistar",Galio,Jungle,Bot,Mid,Top,Support,Bot,Top,Mid,Jungle,Support
Week 3,DRX,Fredit BRION,1 - 1,2,11.2,Olaf,Udyr,Pantheon,Kai'Sa,Hecarim,Gnar,Samira,"Taliyah, Kalista","Orianna, Rell",Lucian,Lillia,Thresh,Nocturne,Ornn,Gragas,"Graves, Aatrox",Alistar,Bot,Mid,Support,Jungle,Top,Jungle,Bot,Mid,Top,Support
Week 3,Fredit BRION,DRX,0 - 1,2,11.2,Udyr,Olaf,Kai'Sa,Pantheon,Azir,Camille,Taliyah,"Aphelios, Thresh","Yone, Seraphine",Orianna,Kalista,Graves,Miss Fortune,Kindred,Lillia,"Ashe, Gragas",Gnar,Jungle,Mid,Support,Bot,Top,Bot,Support,Mid,Jungle,Top
Week 3,Hanwha Life Esports,DWG KIA,0 - 2,2,11.2,Graves,Twisted Fate,Gnar,Taliyah,Quinn,Kalista,Pantheon,"Kai'Sa, Udyr","Senna, Renekton",Seraphine,Rumble,Gangplank,Gragas,Syndra,Sion,"Azir, Vayne",Zoe,Jungle,Support,Top,Mid,Bot,Bot,Jungle,Support,Top,Mid
Week 3,DWG KIA,Hanwha Life Esports,1 - 0,1,11.2,Lillia,Graves,Camille,Gnar,Taliyah,Pantheon,Kai'Sa,"Renekton, Udyr","Nidalee, Alistar",Twisted Fate,Azir,Kalista,Lucian,Xayah,Senna,"Syndra, Quinn",Gragas,Bot,Jungle,Support,Mid,Top,Top,Jungle,Mid,Bot,Support
Week 3,Afreeca Freecs,Nongshim RedForce,2 - 0,1,11.2,Azir,Seraphine,Aphelios,Taliyah,Graves,Renekton,Olaf,"Orianna, Kai'Sa","Viktor, Samira",Rell,Rakan,Jayce,Alistar,Lillia,Udyr,"Gnar, Nautilus",Gangplank,Jungle,Mid,Bot,Top,Support,Mid,Bot,Support,Jungle,Top
