Phase,Blue,Red,Score,Winner,Patch,BB1,RB1,BB2,RB2,BB3,RB3,BP1,RP1-2,BP2-3,RP3,RB4,BB4,RB5,BB5,RP4,BP4-5,RP5,BR1,BR2,BR3,BR4,BR5,RR1,RR2,RR3,RR4,RR5
Week 10,Hanwha Life Esports,Fredit BRION,2 - 0,1,11.5,Udyr,Lucian,Tristana,Renekton,Seraphine,Thresh,Hecarim,"Kai'Sa, Lillia","Senna, Tahm Kench",Azir,Orianna,Rell,Viktor,Gragas,Gnar,"Corki, Sion",Alistar,Jungle,Bot,Support,Mid,Top,Bot,Jungle,Mid,Top,Support
Week 10,Fredit BRION,Hanwha Life Esports,0 - 1,2,11.5,Lucian,Hecarim,Renekton,Seraphine,Sion,Tristana,Lillia,"Thresh, Udyr","Kai'Sa, Gnar",Jinx,Rell,Orianna,Alistar,Kennen,Sylas,"Syndra, Leona",Yone,Jungle,Bot,Top,Mid,Support,Support,Jungle,Bot,Top,Mid
Week 9,T1,Afreeca Freecs,2 - 1,1,11.5,Renekton,Thresh,Rell,Senna,Tristana,Xayah,Seraphine,"Hecarim, Kai'Sa","Udyr, Gnar",Alistar,Galio,Kennen,Ezreal,Viktor,Sylas,"Tahm Kench, Aphelios",Zilean,Mid,Jungle,Top,Support,Bot,Jungle,Bot,Support,Top,Mid
Week 9,Afreeca Freecs,T1,1 - 1,1,11.5,Senna,Seraphine,Thresh,Udyr,Renekton,Tristana,Hecarim,"Kai'Sa, Rell","Alistar, Xayah",Nidalee,Jayce,Irelia,Twisted Fate,Gnar,Zoe,"Viktor, Sion",Sett,Jungle,Support,Bot,Mid,Top,Bot,Support,Jungle,Mid,Top
Week 9,T1,Afreeca Freecs,1 - 0,1,11.5,Renekton,Thresh,Rell,Senna,Nidalee,Seraphine,Hecarim,"Udyr, Tristana","Kai'Sa, Viktor",Alistar,Galio,Gnar,Leona,Orianna,Twisted Fate,"Gragas, Maokai",Aatrox,Jungle,Bot,Mid,Top,Support,Jungle,Bot,Support,Mid,Top
Week 9,DWG KIA,DRX,2 - 0,1,11.5,Thresh,Senna,Udyr,Seraphine,Renekton,Graves,Hecarim,"Tristana, Rell","Gragas, Xayah",Kindred,Zoe,Irelia,Azir,Orianna,Syndra,"Zilean, Gnar",Sylas,Jungle,Support,Bot,Mid,Top,Bot,Support,Jungle,Mid,Top
Week 9,DRX,DWG KIA,0 - 1,2,11.5,Senna,Thresh,Graves,Udyr,Tristana,Kindred,Seraphine,"Kai'Sa, Hecarim","Olaf, Xayah",Gragas,Gnar,Azir,Alistar,Zoe,Zilean,"Renekton, Rakan",Leona,Mid,Jungle,Bot,Top,Support,Bot,Jungle,Top,Mid,Support
Week 9,KT Rolster,Gen.G,1 - 2,2,11.5,Kalista,Lillia,Thresh,Hecarim,Renekton,Gnar,Udyr,"Rell, Olaf","Tristana, Alistar",Kai'Sa,Aatrox,Cho'Gath,Syndra,Orianna,Azir,"Zoe, Sion",Ornn,Jungle,Bot,Support,Mid,Top,Support,Jungle,Bot,Mid,Top
Week 9,Gen.G,KT Rolster,1 - 1,1,11.5,Lillia,Kalista,Gnar,Hecarim,Renekton,Udyr,Thresh,"Tristana, Nidalee","Olaf, Jinx",Rell,Syndra,Aatrox,Azir,Yone,Lucian,"Orianna, Ornn",Gragas,Support,Jungle,Bot,Mid,Top,Bot,Jungle,Support,Mid,Top
Week 9,KT Rolster,Gen.G,1 - 0,1,11.5,Kalista,Lillia,Thresh,Hecarim,MISSING DATA,Udyr,Nidalee,"Rell, Olaf","Gnar, Alistar",Tristana,Ezreal,Kennen,Kai'Sa,Irelia,Neeko,"Syndra, Samira",Orianna,Jungle,Top,Support,Mid,Bot,Support,Jungle,Bot,Top,Mid
Week 9,Fredit BRION,Liiv SANDBOX,0 - 2,2,11.5,Gnar,Thresh,Camille,Seraphine,Udyr,Renekton,Hecarim,"Gragas, Olaf","Tristana, Rell",Aatrox,Orianna,Ezreal,Syndra,Viktor,Zoe,"Cho'Gath, Galio",Kai'Sa,Jungle,Bot,Support,Top,Mid,Support,Jungle,Top,Mid,Bot
Week 9,Liiv SANDBOX,Fredit BRION,1 - 0,1,11.5,Thresh,Gnar,Seraphine,Camille,Renekton,Jayce,Hecarim,"Tristana, Rell","Aatrox, Gragas",Udyr,Kai'Sa,Orianna,Kalista,Sion,Zoe,"Ezreal, Viktor",Cho'Gath,Jungle,Top,Support,Bot,Mid,Bot,Support,Jungle,Mid,Top
Week 9,DRX,T1,0 - 2,2,11.5,Azir,Seraphine,Thresh,Udyr,Senna,Rell,Hecarim,"Nidalee, Renekton","Gnar, Kai'Sa",Xayah,Viktor,Rakan,Galio,Sion,Leona,"Syndra, Alistar",Zoe,Jungle,Top,Bot,Mid,Support,Jungle,Top,Bot,Support,Mid
Week 9,T1,DRX,1 - 0,1,11.5,Nidalee,Azir,Rell,Seraphine,Renekton,Thresh,Udyr,"Kai'Sa, Lillia","Gnar, Zoe",Jayce,Senna,Orianna,Ezreal,Leona,Viktor,"Xayah, Nautilus",Alistar,Jungle,Top,Mid,Bot,Support,Bot,Jungle,Top,Mid,Support
Week 9,Nongshim RedForce,Afreeca Freecs,2 - 0,1,11.5,Nocturne,Thresh,Renekton,Udyr,Gnar,Alistar,Seraphine,"Hecarim, Rell","Tristana, Rakan",Kai'Sa,Olaf,Jayce,Kindred,Irelia,Veigar,"Graves, Gragas",Rumble,Mid,Bot,Support,Jungle,Top,Jungle,Support,Bot,Mid,Top
Week 9,Afreeca Freecs,Nongshim RedForce,0 - 1,2,11.5,Thresh,Nocturne,Nidalee,Udyr,Rell,Renekton,Seraphine,"Tristana, Hecarim","Olaf, Kai'Sa",Alistar,Gnar,Azir,Sylas,Orianna,Syndra,"Gragas, Galio",Aatrox,Mid,Jungle,Bot,Top,Support,Bot,Jungle,Support,Mid,Top
Week 9,KT Rolster,Hanwha Life Esports,0 - 2,2,11.5,Renekton,Hecarim,Kai'Sa,Gnar,Udyr,Lillia,Thresh,"Nidalee, Sion","Aphelios, Orianna",Lucian,Skarner,Senna,Olaf,Rell,Varus,"Aatrox, Lee Sin",Leona,Support,Bot,Mid,Top,Jungle,Jungle,Top,Mid,Bot,Support
